Altium Designer Pick and Place Locations
D:\Work\OR_TM2Space_1\OR_TM2Space (2)\OR_TM2Space (1)\.\PCB Gerber\Pick Place\OR_TM2Space PCB REV1-0.txt

========================================================================================================================
File Design Information:

Date:       05-11-25
Time:       19:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment               Manufacturer        "Manufacturer Part Number" Center-X(mm) Center-Y(mm) Rotation Footprint                        Variation Layer       
B1         ADP7158ACPZ-3.3-R7    ""                  ""                         11.7690      49.0280      270      LFCSP_-10                        Fitted    TopLayer    
B2         STM32F446RET6         ""                  ""                         61.7008      44.9780      180      LQFP64                           Fitted    BottomLayer 
B3         "PTS526SK15SMTR2 LFS" ""                  ""                         77.1233      42.3932      270      PTS526SK15SMTR2_LFS              Fitted    TopLayer    
C1         "10uF 50V 1210 X7R"   ""                  ""                         22.9245      74.6658      180      CAP1210S                         Fitted    TopLayer    
C2         1uF                   ""                  ""                         15.4940      36.3580      270      CAP0603S                         Fitted    TopLayer    
C3         1uF                   ""                  ""                         14.7455      48.2740      90       CAP0603S                         Fitted    TopLayer    
C4         10uF                  ""                  ""                         36.8977      61.3878      180      CAP0603S                         Fitted    TopLayer    
C5         10uF                  ""                  ""                         40.5157      72.5273      90       CAP0603S                         Fitted    TopLayer    
C6         1uF                   ""                  ""                         8.5665       48.2490      90       CAP0603S                         Fitted    TopLayer    
C7         1uF                   ""                  ""                         10.5190      52.7780      180      CAP0603S                         Fitted    TopLayer    
C8         10uF                  ""                  ""                         15.0190      45.3030      0        CAP0603S                         Fitted    TopLayer    
C9         10uF                  ""                  ""                         14.7455      51.7030      270      CAP0603S                         Fitted    TopLayer    
C10        "0.012uF 25V X7R"     ""                  ""                         26.0535      61.3486      180      CAP0805S                         Fitted    TopLayer    
C11        3.6pF                 ""                  ""                         45.2690      25.4280      180      CAP0603S                         Fitted    TopLayer    
C12        3.3pF                 ""                  ""                         36.6938      25.4280      180      CAP0603S                         Fitted    TopLayer    
C13        3pF                   ""                  ""                         28.8190      25.4280      180      CAP0402S                         Fitted    TopLayer    
C14        3pF                   ""                  ""                         21.6950      25.4280      180      CAP0402S                         Fitted    TopLayer    
C15        3.3pF                 ""                  ""                         16.3940      22.8530      270      CAP0603S                         Fitted    TopLayer    
C16        3.6pF                 ""                  ""                         16.3940      14.5780      270      CAP0603S                         Fitted    TopLayer    
C17        5.6pF                 ""                  ""                         48.6116      26.1780      270      CAP0603S                         Fitted    TopLayer    
C18        20pF                  ""                  ""                         39.4440      24.6780      90       CAP0603S                         Fitted    TopLayer    
C19        39pF                  ""                  ""                         30.9940      24.6780      90       CAP0603S                         Fitted    TopLayer    
C20        43pF                  ""                  ""                         23.7793      24.6780      90       CAP0603S                         Fitted    TopLayer    
C21        39pF                  ""                  ""                         15.6440      25.4280      0        CAP0603S                         Fitted    TopLayer    
C22        20pF                  ""                  ""                         15.6440      17.2780      0        CAP0603S                         Fitted    TopLayer    
C23        5.6pF                 ""                  ""                         16.3940      8.0562       90       CAP0603S                         Fitted    TopLayer    
C24        "0.1uF 16V 0402 X7R"  Murata              GRM155R71C104KA88D         72.9419      21.3280      90       CAP0402S                         Fitted    TopLayer    
